s,kudos,title,summary,datePublished,words,rating,romanticCategory,publicationStatus,keyword,relationship,member
https://golemlab.eu/graph/10697406,8,I would never break your heart!,Brack up isint always bad because sometimes it help to see what was infront of you all this time.,2017-04-22,2422.0,General Audiences,F/M,Completed,Best Friends | Break Up | Crying | Cute Kim Taehyung | V | Friendship | Jung Hoseok | J-Hope & Kim Taehyung | V are Best Friends | Male-Female Friendship | reader - Freeform,Kim Taehyung | V/Reader,taehyung
https://golemlab.eu/graph/21507976,7,Right After Dawn,"I don't know how to write summaries. Basically, you wake up after you fight with Jimin, get drunk, and sleep with Taehyung.",2019-11-21,341.0,Teen And Up Audiences,F/M,Completed,Cheating | Drunkenness | Fights | Implied Sexual Content | Implied/Referenced Cheating | Infidelity | One Night Stands | Short One Shot,"Kim Taehyung | V/Reader, Park Jimin (BTS)/Reader",taehyung
https://golemlab.eu/graph/30253914,7,love's death.,"“All this time to realize there’s nothing stopping you from leaving me.” Alternatively, it’s been weeks since you last saw Taehyung. Something about him has changed; have you, too, changed this much?",2021-03-25,682.0,Teen And Up Audiences,F/M,Completed,Angst | Based on an EDEN Song | Originally Posted on Tumblr | Reader-Insert | the end of a relationship,Kim Taehyung | V/Reader,taehyung
https://golemlab.eu/graph/28049970,7,My Handsome Boss,Y/N is in desperate need of a job when her friend Jungkook suggests her to become the secretary of the world's most powerful company's CEO. Who  is  considered to be very cold hearted. Will Y/N be able to melt the cold hearted ceo's ice cold heart?,2020-12-13,7218.0,General Audiences,F/M,Completed,Boss and employee relationship | Kookie loves food | Romance | minor misunderstanding,Kim Taehyung | V/Reader,taehyung
https://golemlab.eu/graph/18870790,7,Captivated - Kim Taheyung,"""ɪ ᴡɪʟʟ ɴᴇᴠᴇʀ ғɪɴᴅ ʜᴀᴘᴘɪɴᴇss, ᴛʜᴇ ᴡᴏʀʟᴅ ɪs ᴛᴏᴏ ᴄʀᴜᴇʟ ғᴏʀ ᴛʜᴀᴛ."" ""ғᴏʀɢᴇᴛ ᴀʙᴏᴜᴛ ᴛʜᴇ ᴡᴏʀʟᴅ ᴍʏ ʟᴏᴠᴇ, ʏᴏᴜ ᴅᴇsᴇʀᴠᴇ ᴀʟʟ ᴛʜᴇ ʜᴀᴘᴘɪɴᴇss ɪɴ ᴛʜᴇ ɢᴀʟᴀxʏ. ᴀᴄᴛᴜᴀʟʏ, sᴄʀᴇᴡ ᴛʜᴀᴛ, ʏᴏᴜ ᴅᴇsᴇʀᴠᴇ ᴀʟʟ ᴛʜᴇ ʜᴀᴘᴘɪɴᴇss ɪɴ ᴛʜɪs ᴜɴɪᴠᴇʀsᴇ, ᴀɴᴅ ɪғ ᴛʜᴇʀᴇ ᴀʀᴇ ᴀɴʏ ᴏᴛʜᴇʀs ʏᴏᴜ ᴅᴇsᴇʀᴠᴇ ᴀʟʟ ᴛʜᴇ ʜᴀᴘᴘɪɴᴇss ɪɴ ᴛʜᴇᴍ ᴛᴏᴏ.""",2019-05-18,4700.0,Not Rated,F/M,In-Progress,Alternate Universe - Assassins & Hitmen | Alternate Universe - Gangsters | Alternate Universe - Modern Setting | Angst | Love/Hate,Kim Taehyung | V/Reader,taehyung
https://golemlab.eu/graph/37243918,7,Hot Chocolate ~ KTH,,2022-02-19,1750.0,Teen And Up Audiences,F/M,Completed,5th Muster: Magic Shop (BTS Fan Meeting) | Cute Kim Taehyung | V | Fluff | Hot Chocolate | Meet and Greets | Original Character(s) | Tooth-Rotting Fluff | good vibes,Kim Taehyung | V/Reader Series: BTS Works [2],taehyung
https://golemlab.eu/graph/11799858,7,Handbook for the Newly Departed,"Apparently, when you die, you forget everything about who you were. And unless you're condemned to hell or let into heaven immediately, purgatory is one long journey of finding out who you used to be. Why? You're not sure. But at least you don't have to do it alone. 'Taehyung' is even more confused than you. But he's doing his best to try and help you out. He's like your own personal psychopomp. And as the two of you traverse the labyrinth that is the afterlife, you discover things about yourselves that may best be left forgotten.",2017-08-14,3106.0,Teen And Up Audiences,Other,In-Progress,Afterlife | Angst | Fluff | I'm terrible at tags I'm so sorry | Memory Loss | Mentions of Death | Mythology - Freeform | a loooot of angst just you wait | a lot of mythology | at some point | i'll sort this out,Kim Taehyung | V/Reader,taehyung
https://golemlab.eu/graph/41267130,7,poetry of the stars,"❦ yn and her family are social pariahs a year after her older brother confessed to the murder of his secret girlfriend, who was also yn’s best friend. with normalcy as a thing of the past, all yn wants is to work through the summer and save up enough money to leave her town forever. but what happens when the job she gets hired for means working alongside the brother of the friend she lost?",2022-08-25,25325.0,Teen And Up Audiences,F/M,Completed,Angst | Enemies to Friends to Lovers | Fluff | Friends to Lovers | Friendship,Kim Taehyung | V/Reader,taehyung
https://golemlab.eu/graph/28618935,7,Till I Reach You,"Homesick in Korea, you're unsure how to express the longing you feel to be anywhere familiar, or familial.",2021-01-07,2130.0,Teen And Up Audiences,F/M,Completed,Angst | BTS fluff | Distance | Fluff | Rivers and Roads | bts - Freeform | bts angst | head and the heart | kim taehyung - Freeform | relationship | river - Freeform,"Kim Taehyung | V/Reader, Kim Taehyung | V/You Series: River [4]",taehyung
https://golemlab.eu/graph/36303526,7,In the Still of the Night,"Tae wakes up feeling particularly needy in the middle of the night and leaving the bed might as well be torture. It's so warm under the blankets and it's so late at night, he'll be quick - please? Listen, the puppy play is so light it may as well not even be tagged but if you're particularly squeamish then please scroll on",2022-01-09,7542.0,Explicit,F/M,Completed,Face-Sitting | Femdom | Foreign Language | Hand Jobs | Language Kink | Overstimulation | Puppy Play | Soft Dom Reader | Somnophilia | Yes This Has Been Done Before- But IDC I'm Having A Swell Time | blink and you miss it - Freeform,"Kim Taehyung | V/Reader, Kim Taehyung | V/You",taehyung
