communities,largest,largest_pct,smallest,average,median,singleton_count,model_id,rating,algorithm,edge_weight,resolution,nodes,edges,modularity,dataset
36,129,0.0746096009253904,2,48.02777777777778,49.5,0,149,Mature,Louvain,1,2.0,1729,35899,0.21085923103779422,Model Evaluation Results
37,130,0.07518796992481203,2,46.729729729729726,44.0,0,150,Mature,Leiden,1,2.0,1729,35899,0.2538870328714652,Model Evaluation Results
48,102,0.058993637941006365,2,36.020833333333336,36.0,0,151,Mature,Louvain,1,2.5,1729,35899,0.19677523732043037,Model Evaluation Results
47,93,0.05378831694621168,2,36.787234042553195,35.0,0,152,Mature,Leiden,1,2.5,1729,35899,0.2416603222891505,Model Evaluation Results
62,65,0.03759398496240601,2,27.887096774193548,26.0,0,153,Mature,Louvain,1,3.0,1729,35899,0.17980672915067322,Model Evaluation Results
61,62,0.035858877964141125,2,28.34426229508197,28.0,0,154,Mature,Leiden,1,3.0,1729,35899,0.2255692329710027,Model Evaluation Results
72,63,0.03643724696356275,2,24.01388888888889,22.5,0,155,Mature,Louvain,1,3.5,1729,35899,0.16925849129645887,Model Evaluation Results
73,56,0.032388663967611336,2,23.684931506849313,23.0,0,156,Mature,Leiden,1,3.5,1729,35899,0.21732990477248995,Model Evaluation Results
11,296,0.40437158469945356,2,66.54545454545455,6.0,0,157,Mature,Louvain,2,1.0,732,5941,0.26028771928842415,Model Evaluation Results
11,284,0.3879781420765027,2,66.54545454545455,5.0,0,158,Mature,Leiden,2,1.0,732,5941,0.28827982256425416,Model Evaluation Results
15,141,0.19262295081967212,2,48.8,33.0,0,159,Mature,Louvain,2,1.5,732,5941,0.21701583218046736,Model Evaluation Results
15,120,0.16393442622950818,2,48.8,50.0,0,160,Mature,Leiden,2,1.5,732,5941,0.2574336499338259,Model Evaluation Results
26,67,0.09153005464480875,2,28.153846153846153,27.5,0,161,Mature,Louvain,2,2.0,732,5941,0.1665111803541132,Model Evaluation Results
28,62,0.08469945355191257,2,26.142857142857142,25.5,0,162,Mature,Leiden,2,2.0,732,5941,0.2164196600692308,Model Evaluation Results
36,55,0.07513661202185792,2,20.333333333333332,18.5,0,163,Mature,Louvain,2,2.5,732,5941,0.14156653924044454,Model Evaluation Results
38,49,0.06693989071038252,2,19.263157894736842,17.0,0,164,Mature,Leiden,2,2.5,732,5941,0.1992611178751183,Model Evaluation Results
45,49,0.06693989071038252,2,16.266666666666666,15.0,0,165,Mature,Louvain,2,3.0,732,5941,0.13007191739860124,Model Evaluation Results
44,48,0.06557377049180328,2,16.636363636363637,17.0,0,166,Mature,Leiden,2,3.0,732,5941,0.1926763230681003,Model Evaluation Results
53,44,0.060109289617486336,2,13.81132075471698,11.0,0,167,Mature,Louvain,2,3.5,732,5941,0.1234918801293532,Model Evaluation Results
52,45,0.06147540983606557,2,14.076923076923077,12.0,0,168,Mature,Leiden,2,3.5,732,5941,0.18396618535953643,Model Evaluation Results
6,171,0.41304347826086957,2,69.0,61.5,0,169,Mature,Louvain,3,1.0,414,2562,0.2517285125428388,Model Evaluation Results
8,181,0.43719806763285024,2,51.75,13.0,0,170,Mature,Leiden,3,1.0,414,2562,0.30061470077594776,Model Evaluation Results
15,78,0.18840579710144928,2,27.6,27.0,0,171,Mature,Louvain,3,1.5,414,2562,0.1991280173284778,Model Evaluation Results
13,85,0.20531400966183574,2,31.846153846153847,27.0,0,172,Mature,Leiden,3,1.5,414,2562,0.26490186238429797,Model Evaluation Results
